id,from_account,to_account,amount,timestamp,description
TXN001,ACC_CYCLE_A,ACC_CYCLE_B,50000.0,2025-12-15T10:00:00,SUSPICIOUS: Circular ring transaction 1/3
TXN002,ACC_CYCLE_B,ACC_CYCLE_C,49500.0,2025-12-15T10:05:00,SUSPICIOUS: Circular ring transaction 2/3
TXN003,ACC_CYCLE_C,ACC_CYCLE_A,49000.0,2025-12-15T10:10:00,SUSPICIOUS: Circular ring completes cycle 3/3
TXN004,SMURF_SOURCE,SMURF_DEST_1,25000.0,2025-12-15T11:00:00,SUSPICIOUS: Rapid splitting pattern 1/2
TXN005,SMURF_SOURCE,SMURF_DEST_2,25000.0,2025-12-15T11:02:00,SUSPICIOUS: Rapid splitting pattern 2/2
TXN006,SMURF_DEST_1,SMURF_CONSOLE,24500.0,2025-12-16T11:00:00,SUSPICIOUS: Consolidation within 72h 1/2
TXN007,SMURF_DEST_2,SMURF_CONSOLE,24500.0,2025-12-16T11:02:00,SUSPICIOUS: Consolidation within 72h 2/2
TXN008,LEGIT_BANK,SHELL_ACCOUNT,500000.0,2025-12-15T12:00:00,SUSPICIOUS: High-value shell account intake
TXN009,SHELL_ACCOUNT,MONEY_LAUNDERER,495000.0,2025-12-15T14:00:00,SUSPICIOUS: Shell account pass-through
TXN010,CHAIN_START,CHAIN_END_HIDDEN,75000.0,2025-12-15T13:00:00,SUSPICIOUS: Long chain transfer obfuscation
